id	class	gender	race	name
10330	Glaiver	Common	Common	Slash III
10399	Glaiver	Common	Common	Slash III
10400	Archer	Common	Common	Arrow IV
10400	Assassin	Common	Common	Combo Attack IV
10400	Berserker	Common	Common	Combo Attack IV
10400	Elementalist	Common	Common	Sharan Bolt IV
10400	Engineer	Common	Common	Blast IV
10400	Fighter	Common	Common	Punch IV
10400	Glaiver	Common	Common	Slash IV
10400	Lancer	Common	Common	Combo Attack IV
10400	Priest	Common	Common	Divine Radiance IV
10400	Slayer	Common	Common	Combo Attack IV
10400	Sorcerer	Common	Common	Fireball IV
10400	Warrior	Common	Common	Combo Attack IV
10401	Fighter	Common	Common	Punch IV
10401	Glaiver	Common	Common	Slash IV
10402	Fighter	Common	Common	Punch IV
10402	Glaiver	Common	Common	Slash IV
10403	Fighter	Common	Common	Punch IV
10403	Glaiver	Common	Common	Slash IV
10430	Glaiver	Common	Common	Slash IV
10499	Glaiver	Common	Common	Slash IV
10500	Archer	Common	Common	Arrow V
10500	Assassin	Common	Common	Combo Attack V
10500	Berserker	Common	Common	Combo Attack V
10500	Elementalist	Common	Common	Sharan Bolt V
10500	Engineer	Common	Common	Blast V
10500	Fighter	Common	Common	Punch V
10500	Glaiver	Common	Common	Slash V
10500	Lancer	Common	Common	Combo Attack V
10500	Priest	Common	Common	Divine Radiance V
10500	Slayer	Common	Common	Combo Attack V
10500	Sorcerer	Common	Common	Fireball V
10500	Warrior	Common	Common	Combo Attack V
10501	Fighter	Common	Common	Punch V
10501	Glaiver	Common	Common	Slash V
10502	Fighter	Common	Common	Punch V
10502	Glaiver	Common	Common	Slash V
10503	Fighter	Common	Common	Punch V
10503	Glaiver	Common	Common	Slash V
10530	Glaiver	Common	Common	Slash V
10599	Glaiver	Common	Common	Slash V
10600	Archer	Common	Common	Arrow VI
10600	Assassin	Common	Common	Combo Attack VI
10600	Berserker	Common	Common	Combo Attack VI
10600	Elementalist	Common	Common	Sharan Bolt VI
10600	Engineer	Common	Common	Blast VI
10600	Fighter	Common	Common	Punch VI
10600	Glaiver	Common	Common	Slash VI
10600	Lancer	Common	Common	Combo Attack VI
10600	Priest	Common	Common	Divine Radiance VI
10600	Slayer	Common	Common	Combo Attack VI
10600	Sorcerer	Common	Common	Fireball VI
10600	Warrior	Common	Common	Combo Attack VI
10601	Fighter	Common	Common	Punch VI
10601	Glaiver	Common	Common	Slash VI
10602	Fighter	Common	Common	Punch VI
10602	Glaiver	Common	Common	Slash VI
10603	Fighter	Common	Common	Punch VI
10603	Glaiver	Common	Common	Slash VI
10630	Glaiver	Common	Common	Slash VI
10699	Glaiver	Common	Common	Slash VI
10700	Archer	Common	Common	Arrow VII
10700	Assassin	Common	Common	Combo Attack VII
10700	Berserker	Common	Common	Combo Attack VII
10700	Elementalist	Common	Common	Sharan Bolt VII
10700	Engineer	Common	Common	Blast VII
10700	Fighter	Common	Common	Punch VII
10700	Glaiver	Common	Common	Slash VII
10700	Lancer	Common	Common	Combo Attack VII
10700	Priest	Common	Common	Divine Radiance VII
10700	Slayer	Common	Common	Combo Attack VII
10700	Sorcerer	Common	Common	Fireball VII
10700	Warrior	Common	Common	Combo Attack VII
10701	Fighter	Common	Common	Punch VII
10701	Glaiver	Common	Common	Slash VII
10702	Fighter	Common	Common	Punch VII
10702	Glaiver	Common	Common	Slash VII
10703	Fighter	Common	Common	Punch VII
10703	Glaiver	Common	Common	Slash VII
10730	Glaiver	Common	Common	Slash VII
10799	Glaiver	Common	Common	Slash VII
10800	Archer	Common	Common	Arrow VIII
10800	Assassin	Common	Common	Combo Attack VIII
10800	Berserker	Common	Common	Combo Attack VIII
10800	Elementalist	Common	Common	Sharan Bolt VIII
10800	Engineer	Common	Common	Blast VIII
10800	Fighter	Common	Common	Punch VIII
10800	Glaiver	Common	Common	Slash VIII
10800	Lancer	Common	Common	Combo Attack VIII
10800	Priest	Common	Common	Divine Radiance VIII
10800	Slayer	Common	Common	Combo Attack VIII
10800	Sorcerer	Common	Common	Fireball VIII
10800	Warrior	Common	Common	Combo Attack VIII
10801	Fighter	Common	Common	Punch VIII
10801	Glaiver	Common	Common	Slash VIII
10802	Fighter	Common	Common	Punch VIII
10802	Glaiver	Common	Common	Slash VIII
10803	Fighter	Common	Common	Punch VIII
10803	Glaiver	Common	Common	Slash VIII
10830	Glaiver	Common	Common	Slash VIII
10899	Glaiver	Common	Common	Slash VIII
10900	Archer	Common	Common	Arrow IX
10900	Assassin	Common	Common	Combo Attack IX
10900	Berserker	Common	Common	Combo Attack IX
10900	Elementalist	Common	Common	Sharan Bolt IX
10900	Engineer	Common	Common	Blast IX
10900	Fighter	Common	Common	Punch IX
10900	Glaiver	Common	Common	Slash IX
10900	Lancer	Common	Common	Combo Attack IX
10900	Priest	Common	Common	Divine Radiance IX
10900	Slayer	Common	Common	Combo Attack IX
10900	Sorcerer	Common	Common	Fireball IX
10900	Warrior	Common	Common	Combo Attack IX
10901	Fighter	Common	Common	Punch IX
10901	Glaiver	Common	Common	Slash IX
10902	Fighter	Common	Common	Punch IX
10902	Glaiver	Common	Common	Slash IX
10903	Fighter	Common	Common	Punch IX
10903	Glaiver	Common	Common	Slash IX
10930	Glaiver	Common	Common	Slash IX
10999	Glaiver	Common	Common	Slash IX
11000	Archer	Common	Common	Arrow X
11000	Assassin	Common	Common	Combo Attack X
11000	Berserker	Common	Common	Combo Attack X
11000	Elementalist	Common	Common	Sharan Bolt X
11000	Engineer	Common	Common	Blast X
11000	Fighter	Common	Common	Punch X
11000	Glaiver	Common	Common	Slash X
11000	Lancer	Common	Common	Combo Attack X
11000	Priest	Common	Common	Divine Radiance X
11000	Slayer	Common	Common	Combo Attack X
11000	Sorcerer	Common	Common	Fireball X
11000	Warrior	Common	Common	Combo Attack X
11001	Fighter	Common	Common	Punch X
11001	Glaiver	Common	Common	Slash X
11002	Fighter	Common	Common	Punch X
11002	Glaiver	Common	Common	Slash X
11003	Fighter	Common	Common	Punch X
11003	Glaiver	Common	Common	Slash X
11030	Glaiver	Common	Common	Slash X
11099	Glaiver	Common	Common	Slash X
11100	Archer	Common	Common	Arrow XI
11100	Assassin	Common	Common	Combo Attack XI
11100	Berserker	Common	Common	Combo Attack XI
11100	Elementalist	Common	Common	Sharan Bolt XI
11100	Engineer	Common	Common	Blast XI
11100	Fighter	Common	Common	Punch XI
11100	Glaiver	Common	Common	Slash XI
11100	Lancer	Common	Common	Combo Attack XI
11100	Priest	Common	Common	Divine Radiance XI
11100	Slayer	Common	Common	Combo Attack XI
11100	Sorcerer	Common	Common	Fireball XI
11100	Warrior	Common	Common	Combo Attack XI
11101	Fighter	Common	Common	Punch XI
11101	Glaiver	Common	Common	Slash XI
11102	Fighter	Common	Common	Punch XI
11102	Glaiver	Common	Common	Slash XI
11103	Fighter	Common	Common	Punch XI
11103	Glaiver	Common	Common	Slash XI
11130	Glaiver	Common	Common	Slash XI
11199	Glaiver	Common	Common	Slash XI
11200	Archer	Common	Common	Arrow XII
11200	Assassin	Common	Common	Combo Attack XII
11200	Berserker	Common	Common	Combo Attack XII
11200	Elementalist	Common	Common	Sharan Bolt XII
11200	Engineer	Common	Common	Blast XII
11200	Fighter	Common	Common	Punch XII
11200	Glaiver	Common	Common	Slash XII
11200	Lancer	Common	Common	Combo Attack XII
11200	Priest	Common	Common	Divine Radiance XII
11200	Slayer	Common	Common	Combo Attack XII
11200	Sorcerer	Common	Common	Fireball XII
11200	Warrior	Common	Common	Combo Attack XII
11201	Fighter	Common	Common	Punch XII
11201	Glaiver	Common	Common	Slash XII
11202	Fighter	Common	Common	Punch XII
11202	Glaiver	Common	Common	Slash XII
11203	Fighter	Common	Common	Punch XII
11203	Glaiver	Common	Common	Slash XII
11230	Glaiver	Common	Common	Slash XII
11299	Glaiver	Common	Common	Slash XII
15100	Glaiver	Common	Common	Slash I
15101	Glaiver	Common	Common	Slash I
15102	Glaiver	Common	Common	Slash I
15103	Glaiver	Common	Common	Slash I
15130	Glaiver	Common	Common	Slash I
15200	Glaiver	Common	Common	Slash II
15201	Glaiver	Common	Common	Slash II
15202	Glaiver	Common	Common	Slash II
15203	Glaiver	Common	Common	Slash II
15230	Glaiver	Common	Common	Slash II
15300	Glaiver	Common	Common	Slash III
15301	Glaiver	Common	Common	Slash III
15302	Glaiver	Common	Common	Slash III
15303	Glaiver	Common	Common	Slash III
15330	Glaiver	Common	Common	Slash III
15400	Glaiver	Common	Common	Slash IV
15401	Glaiver	Common	Common	Slash IV
15402	Glaiver	Common	Common	Slash IV
15403	Glaiver	Common	Common	Slash IV
15430	Glaiver	Common	Common	Slash IV
15500	Glaiver	Common	Common	Slash V
15501	Glaiver	Common	Common	Slash V
15502	Glaiver	Common	Common	Slash V
15503	Glaiver	Common	Common	Slash V
15530	Glaiver	Common	Common	Slash V
15600	Glaiver	Common	Common	Slash VI
15601	Glaiver	Common	Common	Slash VI
15602	Glaiver	Common	Common	Slash VI
15603	Glaiver	Common	Common	Slash VI
15630	Glaiver	Common	Common	Slash VI
15700	Glaiver	Common	Common	Slash VII
15701	Glaiver	Common	Common	Slash VII
15702	Glaiver	Common	Common	Slash VII
15703	Glaiver	Common	Common	Slash VII
15730	Glaiver	Common	Common	Slash VII
15800	Glaiver	Common	Common	Slash VIII
15801	Glaiver	Common	Common	Slash VIII
15802	Glaiver	Common	Common	Slash VIII
15803	Glaiver	Common	Common	Slash VIII
15830	Glaiver	Common	Common	Slash VIII
15900	Glaiver	Common	Common	Slash IX
15901	Glaiver	Common	Common	Slash IX
15902	Glaiver	Common	Common	Slash IX
15903	Glaiver	Common	Common	Slash IX
15930	Glaiver	Common	Common	Slash IX
16000	Glaiver	Common	Common	Slash X
16001	Glaiver	Common	Common	Slash X
16002	Glaiver	Common	Common	Slash X
16003	Glaiver	Common	Common	Slash X
16030	Glaiver	Common	Common	Slash X
16100	Glaiver	Common	Common	Slash XI
16101	Glaiver	Common	Common	Slash XI
16102	Glaiver	Common	Common	Slash XI
16103	Glaiver	Common	Common	Slash XI
16130	Glaiver	Common	Common	Slash XI
16200	Glaiver	Common	Common	Slash XII
16201	Glaiver	Common	Common	Slash XII
16202	Glaiver	Common	Common	Slash XII
16203	Glaiver	Common	Common	Slash XII
16230	Glaiver	Common	Common	Slash XII
20100	Archer	Common	Common	Arrow Volley I
20100	Assassin	Common	Common	Shadow Jump
20100	Berserker	Common	Common	Axe Block I
20100	Elementalist	Common	Common	Corruption Ring I
20100	Engineer	Common	Common	Bombardment I
20100	Fighter	Common	Common	Counter I
20100	Glaiver	Common	Common	Overhead Slash I
20100	Lancer	Common	Common	Stand Fast I
20100	Priest	Common	Common	Regeneration Circle I
20100	Slayer	Common	Common	Knockdown Strike I
20100	Sorcerer	Common	Common	Frost Sphere I
20100	Warrior	Common	Common	Evasive Roll
20101	Fighter	Common	Common	Counter I
20101	Slayer	Common	Common	Knockdown Strike I
20102	Fighter	Common	Common	Counter I
20102	Slayer	Common	Common	Knockdown Strike I
20103	Fighter	Common	Common	Counter I
20104	Fighter	Common	Common	Counter I
20110	Archer	Common	Common	Arrow Volley I
20112	Elementalist	Common	Common	Infusion Ring I
20130	Glaiver	Common	Common	Overhead Slash I
20130	Slayer	Common	Common	Knockdown Strike I
20199	Glaiver	Common	Common	Overhead Slash I
20200	Archer	Common	Common	Arrow Volley II
20200	Berserker	Common	Common	Axe Block II
20200	Elementalist	Common	Common	Corruption Ring II
20200	Engineer	Common	Common	Bombardment II
20200	Fighter	Common	Common	Counter II
20200	Glaiver	Common	Common	Overhead Slash II
20200	Lancer	Common	Common	Stand Fast II
20200	Priest	Common	Common	Regeneration Circle II
20200	Slayer	Common	Common	Knockdown Strike II
20200	Sorcerer	Common	Common	Frost Sphere II
20201	Fighter	Common	Common	Counter II
20201	Slayer	Common	Common	Knockdown Strike II
20202	Fighter	Common	Common	Counter II
20202	Slayer	Common	Common	Knockdown Strike II
20203	Fighter	Common	Common	Counter II
20204	Fighter	Common	Common	Counter II
20210	Archer	Common	Common	Arrow Volley II
20212	Elementalist	Common	Common	Infusion Ring II
20230	Glaiver	Common	Common	Overhead Slash II
20230	Slayer	Common	Common	Knockdown Strike II
20299	Glaiver	Common	Common	Overhead Slash II
20300	Archer	Common	Common	Arrow Volley III
20300	Elementalist	Common	Common	Corruption Ring III
20300	Engineer	Common	Common	Bombardment III
20300	Fighter	Common	Common	Counter III
20300	Glaiver	Common	Common	Overhead Slash III
20300	Priest	Common	Common	Regeneration Circle III
20300	Slayer	Common	Common	Knockdown Strike III
20300	Sorcerer	Common	Common	Frost Sphere III
20301	Fighter	Common	Common	Counter III
20301	Slayer	Common	Common	Knockdown Strike III
20302	Fighter	Common	Common	Counter III
20302	Slayer	Common	Common	Knockdown Strike III
20303	Fighter	Common	Common	Counter III
20304	Fighter	Common	Common	Counter III
20310	Archer	Common	Common	Arrow Volley III
20312	Elementalist	Common	Common	Infusion Ring III
20330	Glaiver	Common	Common	Overhead Slash III
20330	Slayer	Common	Common	Knockdown Strike III
20399	Glaiver	Common	Common	Overhead Slash III
20400	Archer	Common	Common	Arrow Volley IV
20400	Elementalist	Common	Common	Corruption Ring IV
20400	Engineer	Common	Common	Bombardment IV
20400	Fighter	Common	Common	Counter IV
20400	Glaiver	Common	Common	Overhead Slash IV
20400	Priest	Common	Common	Regeneration Circle IV
20400	Slayer	Common	Common	Knockdown Strike IV
20400	Sorcerer	Common	Common	Frost Sphere IV
20401	Fighter	Common	Common	Counter IV
20401	Slayer	Common	Common	Knockdown Strike IV
20402	Fighter	Common	Common	Counter IV
20402	Slayer	Common	Common	Knockdown Strike IV
20403	Fighter	Common	Common	Counter IV
20404	Fighter	Common	Common	Counter IV
20410	Archer	Common	Common	Arrow Volley IV
20412	Elementalist	Common	Common	Infusion Ring IV
20430	Glaiver	Common	Common	Overhead Slash IV
20430	Slayer	Common	Common	Knockdown Strike IV
20499	Glaiver	Common	Common	Overhead Slash IV
20500	Archer	Common	Common	Arrow Volley V
20500	Elementalist	Common	Common	Corruption Ring V
20500	Engineer	Common	Common	Bombardment V
20500	Fighter	Common	Common	Counter V
20500	Glaiver	Common	Common	Overhead Slash V
20500	Priest	Common	Common	Regeneration Circle V
20500	Slayer	Common	Common	Knockdown Strike V
20500	Sorcerer	Common	Common	Frost Sphere V
20501	Fighter	Common	Common	Counter V
20501	Slayer	Common	Common	Knockdown Strike V
20502	Fighter	Common	Common	Counter V
20502	Slayer	Common	Common	Knockdown Strike V
20503	Fighter	Common	Common	Counter V
20504	Fighter	Common	Common	Counter V
20510	Archer	Common	Common	Arrow Volley V
20512	Elementalist	Common	Common	Infusion Ring V
20530	Glaiver	Common	Common	Overhead Slash V
20530	Slayer	Common	Common	Knockdown Strike V
20599	Glaiver	Common	Common	Overhead Slash V
20600	Archer	Common	Common	Arrow Volley VI
20600	Elementalist	Common	Common	Corruption Ring VI
20600	Engineer	Common	Common	Bombardment VI
20600	Fighter	Common	Common	Counter VI
20600	Glaiver	Common	Common	Overhead Slash VI
20600	Priest	Common	Common	Regeneration Circle VI
20600	Slayer	Common	Common	Knockdown Strike VI
20600	Sorcerer	Common	Common	Frost Sphere VI
20601	Fighter	Common	Common	Counter VI
20601	Slayer	Common	Common	Knockdown Strike VI
20602	Fighter	Common	Common	Counter VI
20602	Slayer	Common	Common	Knockdown Strike VI
20603	Fighter	Common	Common	Counter VI
20604	Fighter	Common	Common	Counter VI
20610	Archer	Common	Common	Arrow Volley VI
20612	Elementalist	Common	Common	Infusion Ring VI
20630	Glaiver	Common	Common	Overhead Slash VI
20630	Slayer	Common	Common	Knockdown Strike VI
20699	Glaiver	Common	Common	Overhead Slash VI
20700	Archer	Common	Common	Arrow Volley VII
20700	Elementalist	Common	Common	Corruption Ring VII
20700	Fighter	Common	Common	Counter VII
20700	Glaiver	Common	Common	Overhead Slash VII
20700	Priest	Common	Common	Regeneration Circle VII
20700	Slayer	Common	Common	Knockdown Strike VII
20700	Sorcerer	Common	Common	Frost Sphere VII
20701	Fighter	Common	Common	Counter VII
20701	Slayer	Common	Common	Knockdown Strike VII
20702	Fighter	Common	Common	Counter VII
20702	Slayer	Common	Common	Knockdown Strike VII
20703	Fighter	Common	Common	Counter VII
20704	Fighter	Common	Common	Counter VII
20710	Archer	Common	Common	Arrow Volley VII
20712	Elementalist	Common	Common	Infusion Ring VII
20730	Glaiver	Common	Common	Overhead Slash VII
20730	Slayer	Common	Common	Knockdown Strike VII
20799	Glaiver	Common	Common	Overhead Slash VII
20800	Archer	Common	Common	Arrow Volley VIII
20800	Elementalist	Common	Common	Corruption Ring VIII
20800	Fighter	Common	Common	Counter VIII
20800	Priest	Common	Common	Regeneration Circle VIII
20800	Slayer	Common	Common	Knockdown Strike VIII
20800	Sorcerer	Common	Common	Frost Sphere VIII
20801	Fighter	Common	Common	Counter VIII
20801	Slayer	Common	Common	Knockdown Strike VIII
20802	Fighter	Common	Common	Counter VIII
20802	Slayer	Common	Common	Knockdown Strike VIII
20803	Fighter	Common	Common	Counter VIII
20804	Fighter	Common	Common	Counter VIII
20810	Archer	Common	Common	Arrow Volley VIII
20812	Elementalist	Common	Common	Infusion Ring VIII
20830	Slayer	Common	Common	Knockdown Strike VIII
20900	Archer	Common	Common	Arrow Volley IX
20900	Elementalist	Common	Common	Corruption Ring IX
20900	Fighter	Common	Common	Counter IX
20900	Priest	Common	Common	Regeneration Circle IX
20900	Slayer	Common	Common	Knockdown Strike IX
20900	Sorcerer	Common	Common	Frost Sphere IX
20901	Fighter	Common	Common	Counter IX
20901	Slayer	Common	Common	Knockdown Strike IX
20902	Fighter	Common	Common	Counter IX
20902	Slayer	Common	Common	Knockdown Strike IX
20903	Fighter	Common	Common	Counter IX
20904	Fighter	Common	Common	Counter IX
20910	Archer	Common	Common	Arrow Volley IX
20912	Elementalist	Common	Common	Infusion Ring IX
20930	Slayer	Common	Common	Knockdown Strike IX
21000	Archer	Common	Common	Arrow Volley X
21000	Elementalist	Common	Common	Corruption Ring X
21000	Fighter	Common	Common	Counter X
21000	Slayer	Common	Common	Knockdown Strike X
21000	Sorcerer	Common	Common	Frost Sphere X
21001	Fighter	Common	Common	Counter X
21001	Slayer	Common	Common	Knockdown Strike X
21002	Fighter	Common	Common	Counter X
21002	Slayer	Common	Common	Knockdown Strike X
21003	Fighter	Common	Common	Counter X
21004	Fighter	Common	Common	Counter X
21010	Archer	Common	Common	Arrow Volley X
21012	Elementalist	Common	Common	Infusion Ring X
21030	Slayer	Common	Common	Knockdown Strike X
21100	Archer	Common	Common	Arrow Volley XI
21100	Fighter	Common	Common	Counter XI
21100	Slayer	Common	Common	Knockdown Strike XI
21101	Fighter	Common	Common	Counter XI
21101	Slayer	Common	Common	Knockdown Strike XI
21102	Fighter	Common	Common	Counter XI
21102	Slayer	Common	Common	Knockdown Strike XI
21103	Fighter	Common	Common	Counter XI
21104	Fighter	Common	Common	Counter XI
21130	Slayer	Common	Common	Knockdown Strike XI
21200	Fighter	Common	Common	Counter XII
21201	Fighter	Common	Common	Counter XII
21202	Fighter	Common	Common	Counter XII
21203	Fighter	Common	Common	Counter XII
21204	Fighter	Common	Common	Counter XII
25100	Glaiver	Common	Common	Overhead Slash I
25130	Glaiver	Common	Common	Overhead Slash I
25200	Glaiver	Common	Common	Overhead Slash II
25230	Glaiver	Common	Common	Overhead Slash II
25300	Glaiver	Common	Common	Overhead Slash III
25330	Glaiver	Common	Common	Overhead Slash III
25400	Glaiver	Common	Common	Overhead Slash IV
25430	Glaiver	Common	Common	Overhead Slash IV
25500	Glaiver	Common	Common	Overhead Slash V
25530	Glaiver	Common	Common	Overhead Slash V
25600	Glaiver	Common	Common	Overhead Slash VI
25630	Glaiver	Common	Common	Overhead Slash VI
25700	Glaiver	Common	Common	Overhead Slash VII
25730	Glaiver	Common	Common	Overhead Slash VII
30100	Archer	Common	Common	Radiant Arrow I
30100	Assassin	Common	Common	Leaves on the Wind I
30100	Berserker	Common	Common	Thunder Strike I
30100	Elementalist	Common	Common	Titanic Wrath I
30100	Engineer	Common	Common	Scattershot I
30100	Fighter	Common	Common	Divine Wrath I
30100	Glaiver	Common	Common	Glaive Strike I
30100	Lancer	Common	Common	Onslaught I
30100	Priest	Common	Common	Healing Circle I
30100	Slayer	Common	Common	Whirlwind I
30100	Sorcerer	Common	Common	Lightning Trap I
30100	Soulless	Common	Common	Double Shear I
30100	Warrior	Common	Common	Torrent of Blows I
30130	Glaiver	Common	Common	Glaive Strike I
30130	Lancer	Common	Common	Onslaught I
30130	Priest	Common	Common	Healing Circle I
30199	Glaiver	Common	Common	Glaive Strike I
30200	Archer	Common	Common	Radiant Arrow II
30200	Assassin	Common	Common	Leaves on the Wind II
30200	Berserker	Common	Common	Thunder Strike II
30200	Elementalist	Common	Common	Titanic Wrath II
30200	Engineer	Common	Common	Scattershot II
30200	Fighter	Common	Common	Divine Wrath II
30200	Glaiver	Common	Common	Glaive Strike II
30200	Lancer	Common	Common	Onslaught II
30200	Priest	Common	Common	Healing Circle II
30200	Slayer	Common	Common	Whirlwind II
30200	Sorcerer	Common	Common	Lightning Trap II
30200	Soulless	Common	Common	Double Shear II
30200	Warrior	Common	Common	Torrent of Blows II
30230	Glaiver	Common	Common	Glaive Strike II
30230	Lancer	Common	Common	Onslaught II
30230	Priest	Common	Common	Healing Circle II
30299	Glaiver	Common	Common	Glaive Strike II
30300	Archer	Common	Common	Radiant Arrow III
30300	Assassin	Common	Common	Leaves on the Wind III
30300	Berserker	Common	Common	Thunder Strike III
30300	Elementalist	Common	Common	Titanic Wrath III
30300	Engineer	Common	Common	Scattershot III
30300	Glaiver	Common	Common	Glaive Strike III
30300	Priest	Common	Common	Healing Circle III
30300	Slayer	Common	Common	Whirlwind III
30300	Sorcerer	Common	Common	Lightning Trap III
30300	Soulless	Common	Common	Double Shear III
30300	Warrior	Common	Common	Torrent of Blows III
30330	Glaiver	Common	Common	Glaive Strike III
30330	Priest	Common	Common	Healing Circle III
30399	Glaiver	Common	Common	Glaive Strike III
30400	Archer	Common	Common	Radiant Arrow IV
30400	Assassin	Common	Common	Leaves on the Wind IV
30400	Berserker	Common	Common	Thunder Strike IV
30400	Engineer	Common	Common	Scattershot IV
30400	Glaiver	Common	Common	Glaive Strike IV
30400	Priest	Common	Common	Healing Circle IV
30400	Slayer	Common	Common	Whirlwind IV
30430	Glaiver	Common	Common	Glaive Strike IV
30430	Priest	Common	Common	Healing Circle IV
30499	Glaiver	Common	Common	Glaive Strike IV
30500	Archer	Common	Common	Radiant Arrow V
30500	Assassin	Common	Common	Leaves on the Wind V
30500	Berserker	Common	Common	Thunder Strike V
30500	Engineer	Common	Common	Scattershot V
30500	Glaiver	Common	Common	Glaive Strike V
30500	Priest	Common	Common	Healing Circle V
30500	Slayer	Common	Common	Whirlwind V
30530	Glaiver	Common	Common	Glaive Strike V
30530	Priest	Common	Common	Healing Circle V
30599	Glaiver	Common	Common	Glaive Strike V
30600	Archer	Common	Common	Radiant Arrow VI
30600	Assassin	Common	Common	Leaves on the Wind VI
30600	Berserker	Common	Common	Thunder Strike VI
30600	Engineer	Common	Common	Scattershot VI
30600	Glaiver	Common	Common	Glaive Strike VI
30600	Priest	Common	Common	Healing Circle VI
30600	Slayer	Common	Common	Whirlwind VI
30630	Glaiver	Common	Common	Glaive Strike VI
30630	Priest	Common	Common	Healing Circle VI
30699	Glaiver	Common	Common	Glaive Strike VI
30700	Archer	Common	Common	Radiant Arrow VII
30700	Assassin	Common	Common	Leaves on the Wind VII
30700	Berserker	Common	Common	Thunder Strike VII
30700	Engineer	Common	Common	Scattershot VII
30700	Glaiver	Common	Common	Glaive Strike VII
30700	Priest	Common	Common	Healing Circle VII
30700	Slayer	Common	Common	Whirlwind VII
30730	Glaiver	Common	Common	Glaive Strike VII
30730	Priest	Common	Common	Healing Circle VII
30799	Glaiver	Common	Common	Glaive Strike VII
30800	Archer	Common	Common	Radiant Arrow VIII
30800	Assassin	Common	Common	Leaves on the Wind VIII
30800	Berserker	Common	Common	Thunder Strike VIII
30800	Engineer	Common	Common	Scattershot VIII
30800	Glaiver	Common	Common	Glaive Strike VIII
30800	Slayer	Common	Common	Whirlwind VIII
30830	Glaiver	Common	Common	Glaive Strike VIII
30899	Glaiver	Common	Common	Glaive Strike VIII
30900	Archer	Common	Common	Radiant Arrow IX
30900	Berserker	Common	Common	Thunder Strike IX
