id	string
454	Riding Skill: Gourmando
455	Riding Skill: Sheldon
457	Riding Skill: Regulus
489	Riding Skill: Sheldon
498	Fireworks (Dragon)
499	Crucible of Flame Teleport Scroll
500	Argon Corpus/Manaya's Core Teleport Scroll
501	Paverune of Shara
502	Silrune of Shara
503	Quoirune of Shara
504	Archrune of Shara
505	Keyrune of Shara
506	Shara Rune
507	Daga Rune
508	Sulfa Rune
509	Glora Rune
510	Sikka Rune
511	Paverune of Arun
512	Silrune of Arun
513	Quoirune of Arun
514	Archrune of Arun
515	Keyrune of Arun
516	Arun Rune
517	Geit Rune
518	Isthel Rune
519	Kran Rune
520	Zirc Rune
521	Paverune of Titans
522	Silrune of Titans
523	Quoirune of Titans
524	Archrune of Titans
525	Keyrune of Titans
526	Tera Rune
527	Triz Rune
528	Emya Rune
529	Rowan Rune
530	Aeru Rune
531	Open Warp
532	Lignite
533	Natural Catalyst
534	Simple Salts
535	Spiral Warp
536	Subbitum
537	Carapatic Catalyst
538	Alum Salts
539	Broad Warp
540	Bitumin
541	Apoid Catalyst
542	Chrome Salts
543	Mediwarp
544	Seacoal
545	Fejic Catalyst
546	Oil Dressing
547	Paciwarp
548	Anthracite
549	Dannic Catalyst
550	Tannin
551	Shattered Monster Fragment
552	Complete Monster Fragment
553	Bounty of the Fray
554	Silver Galleon
555	Gold Galleon
556	Medal of the Fray
557	Halloween Trick Box
558	Sweet Pumpkin Pie
559	Halloween Treat Basket
560	Halloween Candy
561	Wintera Token
562	Snowball
563	Flameball
564	Ice Trap
565	Stinky Snowpile
566	Goldfinger Token
567	Artisan Potion
568	Large Artisan Potion
569	Master Craftsman Potion
570	Large Master Craftsman Potion
571	Master Craftsman Potion
572	Large Master Craftsman Potion
573	Master Craftsman Potion
574	Large Master Craftsman Potion
575	Medium Guild Reward Chest II
576	Medium Guild Reward Chest III
577	Large Guild Reward Chest I
578	Large Guild Reward Chest II
579	Large Guild Reward Chest III
580	Unstable Random Option Change Scroll
581	Stable Random Option Change Scroll
582	Blessed Random Option Change Scroll
583	Somewhat Unstable Random Option Change Scroll
649	Speed Mote
650	A Week of Night Mares
668	Wintera Scroll of Resurrection
703	Oneiric Mote
710	Exclusive Tier 10 Masterwork Alkahest
790	Personal Extensive Alkahest
791	Personal Rare Alkahest
807	Spellbind VII
808	Spellbind VIII
809	Spellbind IX
810	Spellbind X
811	Spellbind XI
812	Spellbind XII
907	Master Enigmatic Scroll VII
908	Master Enigmatic Scroll VIII
909	Master Enigmatic Scroll IX
910	Master Enigmatic Scroll X
911	Master Enigmatic Scroll XI
912	Master Enigmatic Scroll XII
950	????
951	????
952	????
953	Exodor Core Essence
954	[Random] Exodor Superior Belt Cube
955	[Random] Exodor Superior Belt Golden Cube
956	[Random] Superior Exodor Brooch Cube
957	[Random] Superior Exodor Brooch Golden Cube
958	[Random] Exodor Superior Mask Cube
959	[Random] Exodor Superior Mask Golden Cube
960	Caiman's Treasure Chest
961	Caiman's Golden Treasure Chest
962	Caiman's Chest
963	500 ???? Reputation
964	250 ???? Reputation
965	125 ???? Reputation
966	Dark Mana Fragment
967	Core Mana Ring Resizing Stone
968	Core Mana Necklace Resizing Stone
969	Core Mana Earrings Resizing Stone
970	Core Mana Circlet Resizing Stone
971	Exodor Core Essence
972	Dark Mana Fragment
973	Perfect Option Change Scroll Box [Belt, Mask, Brooch]
1001	Verdra Fibers
1002	Krymetal Ore
1003	Sun Essence
1004	Dawnhide
1005	Sylva Fibers
1006	Linmetal Ore
1007	Essence of Wind
1008	Greenhide
1009	Shetla Fibers
1010	Normetal Ore
1011	Star Essence
1012	Rough Hide
1013	Toira Fibers
1014	Shadmetal Ore
1015	Essence of Ice
1016	Bloodhide
1017	Luria Fibers
1018	Xermetal Ore
1019	Lightning Essence
1020	Gravehide
1021	Verdracloth
1022	Krysteel Ingot
1023	Deosilex
1024	Zalisleather
1025	Sylvacloth
1026	Linsteel Ingot
1027	Aerosilex
1028	Boscleather
1029	Shetlacloth
1030	Norsteel Ingot
1031	Astrosilex
1032	Marleather
1033	Toiracloth
1034	Shadsteel Ingot
1035	Cryosilex
1036	Hemeleather
1037	Luriacloth
1038	Xersteel Ingot
1039	Galvasilex
1040	Cereleather
1051	Fine Verdra Fibers
1052	Pure Krymetal Ore
1053	Pure Sun Essence
1054	Flawless Dawnhide
1055	Fine Sylva Fibers
1056	Pure Linmetal Ore
1057	Pure Essence of Wind
1058	Flawless Greenhide
1059	Fine Shetla Fibers
1060	Pure Normetal Ore
1061	Pure Star Essence
1062	Pure Rough Hide
1063	Fine Toira Fibers
1064	Pure Shadmetal Ore
1065	Pure Essence of Ice
1066	Flawless Bloodhide
1067	Fine Luria Fibers
1068	Pure Xermetal Ore
1069	Pure Lightning Essence
1070	Flawless Gravehide
1071	Idyllic Leaf
1072	Essential Mana
1073	Scroll Parchment
1074	Aerated Gel
1075	Ore Grinder
1076	Butcher's Blood Ink
1077	Charred Venom Ink
1078	Rusty Gear Ink
1079	Nightshade Ink
1080	Firefly Ink
1081	Squeteague Ink
1082	Amberdust Ink
1083	Rogue Rouge
1084	Snowdrift Ink
1085	Nagollic Catalyst
1086	Arunic Powder
1087	Stoppered Bottle
1088	Sharan Powder
1089	Krymetal Dust
1090	Linmetal Dust
1091	Normetal Dust
1092	Shadmetal Dust
1093	Xermetal Dust
1094	Mana Concentrate
1095	Idyllic Distillation
1096	Verdra Salve
1097	Sylva Salve
1098	Shetla Salve
1099	Toira Salve
1100	Luria Salve
1101	Verdra Unguent
1102	Sylva Unguent
1103	Shetla Unguent
1104	Toira Unguent
1105	Luria Unguent
1106	Solis Salve
1107	Aeris Salve
1108	Astris Salve
1109	Crysis Salve
1110	Galvis Salve
1111	Solis Unguent
1112	Aeris Unguent
1113	Astris Unguent
1114	Crysis Unguent
1115	Galvis Unguent
1116	Killian's Chain
1117	Necromancer's Orb Shard
1118	Broken Phoenix Beak
1119	Beast Heart
1120	Dancing Lumin
1121	Aurora Powder
1122	Giggle Powder
1123	Regenerative Tusk
1124	Beast Hide
1125	Godsmarrow
1126	Fanesteel
1127	Dream Bindings
1128	Shandra's Quill
1129	Kaelic Spark
1130	Cyasmic Oil
1131	Argon Vitriol
1132	Chaos Block
1133	Victor's Trophy
1134	Victor's Orthoclase
1135	Agnitor's Plagioclase
1136	Neutralized Cyasma
1137	Blue Rock
1138	Wrought Argon
1139	Argonic Hide
1450	Dreamstriker Ore
1451	Sturdy Forge Pitch
1452	Flexible Forge Pitch
1453	Liquid Condenser
1454	Noctenium Forge Slag
1455	Pure Luriacloth
1456	Pure Xersteel Ingot
1457	Pure Galvasilex
1458	Rough Cereleather
1459	Cyld Nugget
1460	Vrage Nugget
1461	Twelnoct Alloy
1462	Weaponcrafting Design: Twelnoct Alloy
1463	Armorcrafting Design: Twelnoct Alloy
1464	Recipe: Minor Battle Solution
1465	Recipe: Major Battle Solution
1466	Potion Recipe: Prime Battle Solution
1501	Rokewood Hilt Shim
1502	Krysteel Quillons
1503	Turned Rokewood Shaft Segment
1504	Krysteel Shield Panel
1505	Rokewood Extended Grip
1506	Large Krysteel Guard
1507	Rokewood Helve
1508	Krysteel End Knob
1509	Deosilex Rotor
1510	Krymetal Bearings
1511	Springy Rokewood Limb
1512	Krymetal Sight
1513	Rokewood Pole
1514	Krysteel Mount
1515	Rokewood Haft
1516	Krysteel Setting
1517	Krymetal Fastener
1518	Krysteel Annealer
1519	Krymetal Buckle
1520	Beeswax
1521	Goat Wool Trim
1522	Verdra Cording
1523	Birn Hilt Shim
1524	Linsteel Quillons
1525	Turned Birn Shaft Segment
1526	Linsteel Shield Panel
1527	Birn Extended Grip
1528	Large Linsteel Guard
1529	Birn Helve
1530	Linsteel End Knob
1531	Aerosilex Rotor
1532	Linmetal Bearings
1533	Springy Birn Limb
1534	Linmetal Sight
1535	Birn Pole
1536	Linsteel Mount
1537	Birn Haft
1538	Linsteel Setting
1539	Linmetal Fastener
1540	Linsteel Annealer
1541	Linmetal Buckle
1542	Arcadian Wax
1543	Noruk Fur Trim
1544	Sylva Cording
1545	Abok Hilt Shim
1546	Norsteel Quillons
1547	Turned Abok Shaft Segment
1548	Norsteel Shield Panel
1549	Abok Extended Grip
1550	Large Norsteel Guard
1551	Abok Helve
1552	Norsteel End Knob
1553	Astrosilex Rotor
1554	Normetal Bearings
1555	Springy Abok Limb
1556	Normetal Sight
1557	Abok Pole
1558	Norsteel Mount
1559	Abok Haft
1560	Norsteel Setting
1561	Normetal Fastener
1562	Norsteel Annealer
1563	Normetal Buckle
1564	Popolion Wax
1565	Cromos Fur Trim
1566	Shetla Cording
1567	Kayl Hilt Shim
1568	Shadsteel Quillons
1569	Turned Kayl Shaft Segment
1570	Shadsteel Shield Panel
1571	Kayl Extended Grip
1572	Large Shadsteel Guard
1573	Kayl Helve
1574	Shadsteel End Knob
1575	Cryosilex Rotor
1576	Shadmetal Bearings
1577	Springy Kayl Limb
1578	Shadmetal Sight
1579	Kayl Pole
1580	Shadsteel Mount
1581	Kayl Haft
1582	Shadsteel Setting
1583	Shadmetal Fastener
1584	Shadsteel Annealer
1585	Shadmetal Buckle
1586	Essenian Wax
1587	Unicorn Mane Trim
1588	Toira Cording
1589	Olnea Hilt Shim
1590	Xersteel Quillons
1591	Turned Olnea Shaft Segment
1592	Xersteel Shield Panel
1593	Olnea Extended Grip
1594	Large Xersteel Guard
1595	Olnea Helve
1596	Xersteel End Knob
1597	Galvasilex Rotor
1598	Xermetal Bearings
1599	Springy Olnea Limb
1600	Xermetal Sight
1601	Olnea Pole
1602	Xersteel Mount
1603	Olnea Haft
1604	Xersteel Setting
1605	Xermetal Fastener
1606	Xersteel Annealer
1607	Xermetal Buckle
1608	Sylvan Wax
1609	Gryphon Down Trim
1610	Luria Cording
1611	Apprentice Scroll Kit
1612	Journeyman Scroll Kit
1613	Professional Scroll Kit
1614	Classical Scroll Kit
1615	Quality Scroll Kit
1616	Apprentice Alchemical Kit
1617	Journeyman Alchemical Kit
1618	Professional Alchemical Kit
1619	Classical Alchemical Kit
1620	Quality Alchemical Kit
1621	Apprentice Weapon Kit
1622	Apprentice Armor Kit
1623	Journeyman Weapon Kit
1624	Journeyman Armor Kit
1625	Professional Weapon Kit
1626	Professional Armor Kit
1627	Classical Weapon Kit
1628	Classical Armor Kit
1629	Quality Weapon Kit
1630	Quality Armor Kit
1631	Apprentice Refining Kit
1632	Journeyman Refining Kit
1633	Professional Refining Kit
1634	Classical Refining Kit
1635	Quality Refining Kit
1636	Apprentice's Catalyst
1637	Journeyman's Catalyst
1638	Professional's Catalyst
1639	Classical Catalyst
1640	Quality Catalyst
1641	Knightly Weapon Kit
1642	Knightly Armor Kit
1643	Knightly Refining Kit
1644	Artisan Scroll Kit
1645	Artisan Alchemical Kit
1646	Artisan Weapon Kit
1647	Artisan Armor Kit
1648	Artisan Refining Kit
1649	Artisan Catalyst
1700	Pilka Fibers
1701	Cobala Ore
1702	Goblu Essence
1703	Zawahide
1704	Pilka Silk
1705	Cobala Ingot
1706	Goblusilex
1707	Zawaleather
1708	Fine Pilka Fibers
1709	Pure Cobala Ore
1710	Pure Goblu Essence
1711	Flawless Zawahide
1712	Fine Pilka Silk
1713	Pure Cobala Ingot
1714	Pure Goblusilex
1715	Fine Zawaleather
1771	Pilka Medicated Bandage
1772	100% Crafting Skill XP Boost (1 Hour)
1773	Care and Use of Your Pet Tough Teddy
1774	Care and Use of Your Pet Tough Teddy
1775	Care and Use of Your Pet Tough Teddy
1776	Care and Use of Your Pet Tough Teddy (3 Days)
1777	Care and Use of Your Pet Tough Teddy (7 Days)
1778	Care and Use of Your Pet Tough Teddy (14 Days)
1779	Care and Use of Your Pet Tough Teddy (30 Days)
1780	Care and Use of Your Pet Tough Teddy
1781	Care and Use of Your Pet Tough Teddy
1782	Care and Use of Your Pet Tough Teddy
1783	Care and Use of Your Pet Tough Teddy (3 Days)
1784	Care and Use of Your Pet Tough Teddy (7 Days)
1785	Care and Use of Your Pet Tough Teddy (14 Days)
1786	Care and Use of Your Pet Tough Teddy (30 Days)
1787	Care and Use of Your Pet Tough Teddy
1788	Care and Use of Your Pet Tough Teddy
1789	Care and Use of Your Pet Tough Teddy
1790	Care and Use of Your Pet Tough Teddy
1791	Care and Use of Your Pet Tough Teddy
1792	Care and Use of Your Pet Tough Teddy
1793	Care and Use of Your Pet Tough Teddy (3 Days)
1794	Care and Use of Your Pet Tough Teddy (7 Days)
1795	Care and Use of Your Pet Tough Teddy (14 Days)
1796	Care and Use of Your Pet Tough Teddy (30 Days)
1797	Care and Use of Your Pet Cuddly Kitty
1798	Care and Use of Your Pet Cuddly Kitty
1799	Care and Use of Your Pet Cuddly Kitty
1800	Care and Use of Your Pet Cuddly Kitty (3 Days)
1801	Care and Use of Your Pet Cuddly Kitty (7 Days)
1802	Care and Use of Your Pet Cuddly Kitty (14 Days)
1803	Care and Use of Your Pet Cuddly Kitty (30 Days)
1804	Care and Use of Your Pet Cuddly Kitty
1805	Care and Use of Your Pet Cuddly Kitty
1806	Care and Use of Your Pet Cuddly Kitty
1807	Care and Use of Your Pet Cuddly Kitty (3 Days)
1808	Care and Use of Your Pet Cuddly Kitty (7 Days)
1809	Care and Use of Your Pet Cuddly Kitty (14 Days)
1810	Care and Use of Your Pet Cuddly Kitty (30 Days)
1811	Care and Use of Your Pet Cuddly Kitty
1812	Care and Use of Your Pet Cuddly Kitty
1813	Care and Use of Your Pet Cuddly Kitty
1814	Care and Use of Your Pet Cuddly Kitty
1815	Care and Use of Your Pet Cuddly Kitty
1816	Care and Use of Your Pet Cuddly Kitty
1817	Care and Use of Your Pet Cuddly Kitty (3 Days)
1818	Care and Use of Your Pet Cuddly Kitty (7 Days)
1819	Care and Use of Your Pet Cuddly Kitty (14 Days)
1820	Care and Use of Your Pet Cuddly Kitty (30 Days)
1821	Care and Use of Your Pet Perky Panda
1822	Care and Use of Your Pet Perky Panda
1823	Care and Use of Your Pet Perky Panda
1824	Care and Use of Your Pet Perky Panda (3 Days)
1825	Care and Use of Your Pet Perky Panda (7 Days)
1826	Care and Use of Your Pet Perky Panda (14 Days)
1827	Care and Use of Your Pet Perky Panda (30 Days)
1828	Care and Use of Your Pet Perky Panda
1829	Care and Use of Your Pet Perky Panda
1830	Care and Use of Your Pet Perky Panda
1831	Care and Use of Your Pet Perky Panda (3 Days)
1832	Care and Use of Your Pet Perky Panda (7 Days)
1833	Care and Use of Your Pet Perky Panda (14 Days)
1834	Care and Use of Your Pet Perky Panda (30 Days)
1835	Care and Use of Your Pet Perky Panda
1836	Care and Use of Your Pet Perky Panda
1837	Care and Use of Your Pet Perky Panda
1838	Care and Use of Your Pet Perky Panda
1839	Care and Use of Your Pet Perky Panda
1840	Care and Use of Your Pet Perky Panda
1841	Care and Use of Your Pet Perky Panda (3 Days)
1842	Care and Use of Your Pet Perky Panda (7 Days)
1843	Care and Use of Your Pet Perky Panda (14 Days)
1844	Care and Use of Your Pet Perky Panda (30 Days)
1845	Care and Use of Your Pet Bouncy Bunny
1846	Care and Use of Your Pet Bouncy Bunny
1847	Care and Use of Your Pet Bouncy Bunny
1848	Care and Use of Your Pet Bouncy Bunny (3 Days)
1849	Care and Use of Your Pet Bouncy Bunny (7 Days)
1850	Care and Use of Your Pet Bouncy Bunny (14 Days)
1851	Care and Use of Your Pet Bouncy Bunny (30 Days)
1852	Care and Use of Your Pet Bouncy Bunny
1853	Care and Use of Your Pet Bouncy Bunny
1854	Care and Use of Your Pet Bouncy Bunny
1855	Care and Use of Your Pet Bouncy Bunny (3 Days)
1856	Care and Use of Your Pet Bouncy Bunny (7 Days)
1857	Care and Use of Your Pet Bouncy Bunny (14 Days)
1858	Care and Use of Your Pet Bouncy Bunny (30 Days)
1859	Care and Use of Your Pet Bouncy Bunny
1860	Care and Use of Your Pet Bouncy Bunny
1861	Care and Use of Your Pet Bouncy Bunny
1862	Care and Use of Your Pet Bouncy Bunny
1863	Care and Use of Your Pet Bouncy Bunny
1864	Care and Use of Your Pet Bouncy Bunny
1865	Care and Use of Your Pet Bouncy Bunny (3 Days)
1866	Care and Use of Your Pet Bouncy Bunny (7 Days)
1867	Care and Use of Your Pet Bouncy Bunny (14 Days)
1868	Care and Use of Your Pet Bouncy Bunny (30 Days)
1869	Care and Use of Your Pet Rascally Raccoon
1870	Care and Use of Your Pet Rascally Raccoon
1871	Care and Use of Your Pet Rascally Raccoon
1872	Care and Use of Your Pet Rascally Raccoon (3 Days)
1873	Care and Use of Your Pet Rascally Raccoon (7 Days)
1874	Care and Use of Your Pet Rascally Raccoon (14 Days)
1875	Care and Use of Your Pet Rascally Raccoon (30 Days)
